Roberts,Aidan,GBR,28,30,29,1
Pope,Jim,GBR,28,31,29,2
Ometz,Baptiste,SUI,28,35,30,3
Bosi,William,GBR,27,36,29,4
Lehmann,Sascha,SUI,24,30,27,5
Marcus,Nimrod,ISR,23,30,27,6
Matthews,Tommy,GBR,20,23,28,7
Mabon,James,GBR,19,22,23,9
Whaley,Nathan,GBR,21,31,23,10
Mabon,Ed,GBR,16,18,20,12
Oates,Alexander,GBR,17,23,22,13
Chuat,Dylan,SUI,16,20,18,15
Walmsley,Joe,GBR,17,25,20,16
Czubkowski,Joe,GBR,16,23,22,17
Butterworth,Kallum,GBR,12,14,19,18
Chan,toby,GBR,12,16,21,20
Corras,Thomas,GBR,11,13,18,21
James-Bradley,Kody,GBR,11,13,17,22
Mawson,Sam,GBR,11,13,14,23
Breckenridge,Christopher,USA,10,13,13,24
Wood,Finley,GBR,9,10,12,25
Willison,Adam,GBR,8,9,15,26
Frost,Tom,GBR,8,9,14,27
Farmer,Euan,GBR,8,9,11,28
De Nobrega,Benedict,GBR,9,14,14,29
Holme,Maximilian,GBR,8,10,14,30
Henstridge,Ben,GBR,7,8,10,31
Hall,Kevin,GBR,7,9,10,32
Stockton,Tom,GBR,7,10,13,33
Stables,George,GBR,5,10,8,35
Akthar,Dayan,GBR,4,7,6,36
Wallace,Joe,GBR,3,3,6,37
Bignold,Elias,GBR,3,5,6,38
Taylor,Owen,GBR,1,1,5,39
Wood,Lyall,GBR,1,1,1,40
Whitecliff,Zak,GBR,,,,42
Scobie,Chris,GBR,,,,42
Langley,Alfie,GBR,,,,42
Gorrie,Benjamin,GBR,,,,42
Gooder,Matt,GBR,,,,42
